(без) пр..крас: прикрас
(в) пре..вкушении: предвкушении
(высокий) бар..ер: барьер
(достойный) пр..емник: преемник
(кран) по..текает: подтекает
(молодой) пр..емник: преемник
(начал) с..знова: сызнова
(негде) пр..моститься: примоститься
(нежданная) гост..я: гостья
(помнить о делах) пр..отцов: праотцов
(пьеса) с..грана: сыграна
(ржавчина) раз..ела: разъела
(совершить серьёзный) пр..ступок: проступок
(старинное) пр..дание: предание
(тригонометрическое) пр..образование: преобразование
(что-то) пр..виделось: привиделось
..бить (с ног): сбить
..брошенный (с балкона): сброшенный
..дание: здание
об..езженный: объезженный
об..ект: объект
об..ективность: объективность
об..ективный: объективный
об..льстить: обольстить
об..млеть: обомлеть
об..ск: обыск
об..скать (весь дом): обыскать
об..скать: обыскать
об..скивать: обыскивать
об..шлось: обошлось
об..явить: объявить
об..ятия: объятия
об..ёмный: объёмный
обе..движенность: обездвиженность
обе..денежеть: обезденежеть
обе..доленный: обездоленный
обе..кровленный: обескровленный
обе..кураженный: обескураженный
обе..цветиться: обесцветиться
обе..ценить: обесценить
обез..яна: обезьяна
обез..яний: обезьяний
оп..знание: опознание
оп..янение: опьянение
опр..кинул (ведро): опрокинул
опр..кинул: опрокинул
опр..кинуть: опрокинуть
ос..знавать: осознавать
от..бравший: отобравший
от..всюду: отовсюду
от..грался: отыгрался
от..грать: отыграть
от..граться: отыграться
от..двинуть: отодвинуть
от..мстить: отомстить
от..мённое (прилагательное): отымённое
от..скать: отыскать
от..явленный: отъявленный
п..верженный: поверженный
п..дбежать: подбежать
п..ддать (жару): поддать
п..джать (ноги): поджать
п..дкова: подкова
п..дметать: подметать
п..дножие (горы): подножие
п..дорожник: подорожник
п..драмник: подрамник
п..дсветка.: подсветка.
п..дсказывать: подсказывать
п..дстраховаться: подстраховаться
п..дстрекатель: подстрекатель
п..едестал: пьедестал
п..еса: пьеса
п..забавить: позабавить
п..завчера: позавчера
п..иск: поиск
п..йдём.: пойдём.
п..краска: покраска
п..лагать.: полагать.
п..ложиться: положиться
п..молчать: помолчать
п..мчаться: помчаться
п..немногу: понемногу
п..никнуть: поникнуть
п..переменно: попеременно
п..полнять: пополнять
п..рядок: порядок
п..следствия: последствия
п..трескивает: потрескивает
п..янящий (аромат): пьянящий
п..янящий: пьянящий
пер..лёт: перелёт
пере..дать (экзамен): пересдать
пере..дать: пересдать
пере..дача (зачёта): пересдача
перев..плотиться: перевоплотиться
перен..править: перенаправить
перер..спределение: перераспределение
по..бодрить: подбодрить
по..бородок: подбородок
по..брасывать: подбрасывать
по..бросить: подбросить
по..грать: поиграть
по..делка: подделка
по..делывать (документ): подделывать
по..караулить: подкараулить
по..кинутый (вверх): подкинутый
по..ковать (коня): подковать
по..кормка: подкормка
по..крадываться: подкрадываться
по..крепить: подкрепить
по..мастерье.: подмастерье.
по..метить: подметить
по..питывать: подпитывать
по..править: подправить
по..пустить: подпустить
по..расти: подрасти
по..рыть (нору): подрыть
по..свеченный: подсвеченный
по..скать: поискать
по..ставить: подставить
по..ставка: подставка
по..ставлять.: подставлять.
по..твердить: подтвердить
по..тверждение: подтверждение
по..текающий (кран): подтекающий
по..текст: подтекст
по..толкнуть (к краю): подтолкнуть
по..точить: подточить
по..цепленный (вагон): подцепленный
по..черкни: подчеркни
по..черкнуть: подчеркнуть
по..чинительный: подчинительный
под..брать: подобрать
под..браться (поближе): подобраться
под..браться: подобраться
под..грать: подыграть
под..есаул: подъесаул
под..ехать: подъехать
под..звать: подозвать
под..зношенный (костюм): подызношенный
под..зрение: подозрение
под..мать: подымать
под..рваться: подорваться
под..скать.: подыскать.
под..скать: подыскать
под..скивать: подыскивать
под..слать: подослать
под..спел: подоспел
под..строй: подстрой
под..тожил: подытожил
под..тожить: подытожить
под..язычный: подъязычный
под..ячий: подьячий
под..ём: подъём
под..ёмник: подъёмник
подош..ю: подошью
поз..бросил: позабросил
поз..брошенный: позаброшенный
поз..вчера: позавчера
поз..прошлый (год): позапрошлый
поз..прошлый: позапрошлый
помест..е: поместье
пон..слышке: понаслышке
порт..ера: портьера
пост..мпрессионизм: постимпрессионизм
пост..ндустриальный: постиндустриальный
пост..нсультный: постинсультный
пост..нфекционный (кашель): постинфекционный
почтал..он: почтальон
пр..анализировать: проанализировать
пр..бабушка: прабабушка
пр..бавка (к зарплате): прибавка
пр..бедняться: прибедняться
пр..бинтовать: прибинтовать
пр..бить (гвоздь): прибить
пр..близить: приблизить
пр..болеть: приболеть
пр..большой: пребольшой
пр..бор: прибор
пр..браться (в комнату): пробраться
пр..брежный: прибрежный
пр..бывать (на станцию): прибывать
пр..важный (вид): преважный
пр..вередничать: привередничать
пр..верженец: приверженец
пр..верить: проверить
пр..верка: проверка
пр..взойти: превзойти
пр..видение: привидение
пр..видец: провидец
пр..возгласить: провозгласить
пр..возмогая (боль): превозмогая
пр..возмочь: превозмочь
пр..возносить (артиста): превозносить
пр..вокзальный: привокзальный
пр..волжский: приволжский
пр..волье: приволье
пр..восходный: превосходный
пр..вратить: превратить
пр..вратник: привратник
пр..вратно (истолковал): превратно
пр..вратно (истолковать): превратно
пр..вратности: превратности
пр..вратные (представления): превратные
пр..вращение: превращение
пр..встать: привстать
пр..выкнуть: привыкнуть
пр..высить (скорость): превысить
пр..высить: превысить
пр..вышение (скорости): превышение
пр..глушить: приглушить
пр..глядеться: приглядеться
пр..говорить (два часа): проговорить
пр..горок: пригорок
пр..града: преграда
пр..градить: преградить
пр..граждать: преграждать
пр..гульщик: прогульщик
пр..давать (значение): придавать
пр..дания (старины): предания
пр..дательство: предательство
пр..даточный: придаточный
пр..дать (форму): придать
пр..даться (мечтаниям): предаться
пр..дворный: придворный
пр..дедушка: прадедушка
пр..дирчивый: придирчивый
пр..добрый: предобрый
пр..домовая (территория): придомовая
пр..домовой (участок): придомовой
пр..дставить: представить
пр..думать (всё до мелочей): продумать
пр..дыстория: предыстория
пр..емлемый: приемлемый
пр..емственность (поколений): преемственность
пр..емственность: преемственность
пр..жился: прижился
пр..забавный: презабавный
пр..задумался: призадумался
пр..задуматься: призадуматься
пр..звание: призвание
пр..землиться: приземлиться
пр..зидент: президент
пр..зрел (бездомного): призрел
пр..изошло: произошло
пр..имущественный: преимущественный
пр..имущество: преимущество
пр..интересный: преинтересный
пр..исторический: праисторический
пр..карманить: прикарманить
пр..клеить (на бумагу): приклеить
пр..клеить: приклеить
пр..клонить (колени): преклонить
пр..контролировать: проконтролировать
пр..красный: прекрасный
пр..кратить: прекратить
пр..крыл: прикрыл
пр..купить: прикупить
пр..липший: прилипший
пр..ложение: приложение
пр..ломить (лучи): преломить
пр..ломление (света): преломление
пр..ломление: преломление
пр..льстил: прельстил
пр..махнуться: промахнуться
пр..мелькаться: примелькаться
пр..мерка: примерка
пр..мета: примета
пр..милый: премилый
пр..мкнувший: примкнувший
пр..морский: приморский
пр..мудрый: премудрый
пр..мыкающий (сбоку): примыкающий
пр..мыкающий: примыкающий
пр..наряженный: принаряженный
пр..неприятный: пренеприятный
пр..норовиться: приноровиться
пр..нудить: принудить
пр..обладавший: преобладавший
пр..обладать: преобладать
пр..ободрился: приободрился
пр..ободриться: приободриться
пр..образ (будущего): прообраз
пр..образ (героя): прообраз
пр..образ: прообраз
пр..образиться: преобразиться
пр..образование: преобразование
пр..образователь: преобразователь
пр..образовать: преобразовать
пр..обрел: приобрел
пр..обрести: приобрести
пр..обретатель: приобретатель
пр..обретение: приобретение
пр..обрёл: приобрёл
пр..общил: приобщил
пр..общиться: приобщиться
пр..огромный: преогромный
пр..одолевать: преодолевать
пр..одолеть: преодолеть
пр..озёрный: приозёрный
пр..оритет: приоритет
пр..открывшийся: приоткрывшийся
пр..открыть: приоткрыть
пр..паркованные (возле дома): припаркованные
пр..пинание: препинание
пр..писная (буква): прописная
пр..питанный: пропитанный
пр..плясывал (от нетерпенья): приплясывал
пр..поведник: проповедник
пр..подавать: преподавать
пр..подал (урок): преподал
пр..подать (урок): преподать
пр..поднести (цветы): преподнести
пр..поднесённый (в дар): преподнесённый
пр..поднёс: преподнёс
пр..равнять: приравнять
пр..рвать (собеседника): прервать
пр..рекаться: пререкаться
пр..родина: прародина
пр..родители: прародители
пр..родитель (драконов): прародитель
пр..российский: пророссийский
пр..рываемый: прерываемый
пр..сесть: присесть
пр..скорбный (факт): прискорбный
пр..скорбный: прискорбный
пр..славяне: праславяне
пр..славянский (язык): праславянский
пр..славянский: праславянский
пр..следователь: преследователь
пр..следовать (врага): преследовать
пр..следовать: преследовать
пр..словутый: пресловутый
пр..слушаться: прислушаться
пр..слушиваться (к разговору): прислушиваться
пр..слушиваться: прислушиваться
пр..сматривать (статью): просматривать
пр..смотрелся: присмотрелся
пр..смыкаться: пресмыкаться
пр..смыкающийся: пресмыкающийся
пр..спосабливающийся: приспосабливающийся
пр..способиться: приспособиться
пр..способь (для работы): приспособь
пр..ставить (к стене): приставить
пр..станище: пристанище
пр..старелый: престарелый
пр..стегнуть: пристегнуть
пр..стегнуться: пристегнуться
пр..стижный: престижный
пр..стольный (град): престольный
пр..страстие: пристрастие
пр..строенный: пристроенный
пр..строиться: пристроиться
пр..стройка: пристройка
пр..ступить (к делу): приступить
пр..ступить (к задаче): приступить
пр..ступить (к занятиям): приступить
пр..стыдить: пристыдить
пр..сыщенный: пресыщенный
пр..творить (в жизнь): претворить
пр..творить (дверь): притворить
пр..творяется (в жизнь): претворяется
пр..тендент: претендент
пр..терпелся (к неудобствам): притерпелся
пр..терпеть (лишения): претерпеть
пр..терпеться (к боли): притерпеться
пр..теснение: притеснение
пр..тихнуть: притихнуть
пр..увеличение: преувеличение
пр..увеличивать: преувеличивать
пр..уныл: приуныл
пр..уныть: приуныть
пр..успеть: преуспеть
пр..хлопнуть: прихлопнуть
пр..ходит: приходит
пр..ходящий (домой): приходящий
пр..чалить: причалить
пр..чудливо: причудливо
пр..чудливый: причудливый
пр..шелец: пришелец
пр..шить (пуговицу): пришить
пр..школьный: пришкольный
пр..щедрый: прещедрый
пр..язык: праязык
пр..ёмник: приёмник
правопр..емник: правопреемник
пре..написанное: преднаписанное
пре..писание: предписание
пре..сказание: предсказание
пре..сказатель: предсказатель
пре..сказать (будущее): предсказать
пре..чувствовать: предчувствовать
пре..шествовать: предшествовать
пред..дущий: предыдущий
пред..нвестиционный: предынвестиционный
пред..нфарктный: предынфарктный
пред..ставить (слово оратору): предоставить
пред..ставить: предоставить
пред..стория: предыстория
пред..юбилейный: предъюбилейный
пред..юльский: предыюльский
пред..юньский: предыюньский
пред..явитель: предъявитель
пред..явить: предъявить
пред..январский: предъянварский
предн..значение: предназначение
предн..чертанный: предначертанный
предпр..имчивый: предприимчивый
преп..даватель: преподаватель
про..грать: проиграть
р..звал (страны): развал
р..звал: развал
р..здробил: раздробил
р..зместить: разместить
р..зобщённо: разобщённо
р..зослать (письма): разослать
р..зослать: разослать
р..зыскать: разыскать
р..зыскивать: разыскивать
р..конструировать: реконструировать
р..скрученный: раскрученный
р..скусил: раскусил
р..списная (ваза): расписная
р..списная (шкатулка): расписная
р..списные (вазы): расписные
р..списные (стены): расписные
р..списывать (стены): расписывать
р..списывать: расписывать
р..сположившийся: расположившийся
р..спорядок: распорядок
р..ссказ: рассказ
р..сстрел.: расстрел.
р..ссыпал: рассыпал
р..ссыпанный: рассыпанный
р..ссыпающийся: рассыпающийся
р..ссыпной: рассыпной
р..стрёпанные (волосы): растрёпанные
р..яный: рьяный
ра..бег: разбег
ра..бросанный: разбросанный
ра..бросать: разбросать
ра..буженный: разбуженный
ра..витие: развитие
ра..говор: разговор
ра..гуляться: разгуляться
ра..двоение: раздвоение
ра..дуть (пламя): раздуть
ра..жалобить: разжалобить
ра..жать: разжать
ра..каиваться (в содеянном): раскаиваться
ра..калённый: раскалённый
ра..колоть: расколоть
ра..кроить: раскроить
ра..крошить: раскрошить
ра..крыть: раскрыть
ра..мешать: размешать
ра..плескать: расплескать
ра..погодится: распогодится
ра..ползлись: расползлись
ра..пределить: распределить
ра..пробовать: распробовать
ра..пущенный: распущенный
ра..свет: рассвет
ра..сердиться: рассердиться
ра..сеять: рассеять
ра..сказать: рассказать
ра..следование: расследование
ра..смеяться: рассмеяться
ра..твориться: раствориться
ра..торгнуть: расторгнуть
ра..тормошить: растормошить
ра..тревожить: растревожить
ра..трёпа: растрёпа
ра..хваливать: расхваливать
ра..цветка: расцветка
ра..целовать: расцеловать
ра..ценивать: расценивать
ра..ценки: расценки
ра..цепиться: расцепиться
ра..чертили: расчертили
ра..черченный (лист): расчерченный
ра..чёт: расчёт
ра..чётливый: расчётливый
ра..шифровать: расшифровать
ра..шифруй: расшифруй
ра..шумелись: расшумелись
ра..щедриться: расщедриться
раз..браться: разобраться
раз..гнавшись: разогнавшись
раз..грать: разыграть
раз..единить: разъединить
раз..езд: разъезд
раз..скать: разыскать
раз..чарование: разочарование
раз..чаровать: разочаровать
раз..щут: разыщут
раз..ярённый: разъярённый
раз..яснение: разъяснение
раз..яснённый: разъяснённый
раз..ём: разъём
раз..ёмный: разъёмный
разоб..ю: разобью
разоб..ётся: разобьётся
расп..ложить: расположить
ро..черк: росчерк
роз..грыш: розыгрыш
роз..ск: розыск
с..брать: собрать
с..гласие: согласие
с..гранность: сыгранность
с..грать: сыграть
с..действие: содействие
с..еденный: съеденный
с..едобный: съедобный
с..естной: съестной
с..ехидничать: съехидничать
с..жаление: сожаление
с..звучие: созвучие
с..змала (любил петь): сызмала
с..змала: сызмала
с..знова: сызнова
с..зреть: созреть
с..йти (с поезда): сойти
с..митировать: сымитировать
с..мневаться: сомневаться
с..мпровизировать: сымпровизировать
с..переживающий: сопереживающий
с..подчинение: соподчинение
с..поставление: сопоставление
с..путствовать: сопутствовать
с..страдание: сострадание
с..трудник: сотрудник
с..узить: сузить
с..экономить: сэкономить
с..язвил: съязвил
с..язвить: съязвить
с..ёжился: съёжился
с..ёжиться: съёжиться
с..ёмка: съёмка
сверх.. нициативный: сверхинициативный
сверх..бдительный: сверхбдительный
сверх..дейный: сверхидейный
сверх..дея: сверхидея
сверх..естественный: сверхъестественный
сверх..зысканно: сверхизысканно
сверх..зысканный: сверхизысканный
сверх..зящный: сверхизящный
сверх..мпульс: сверхимпульс
сверх..мпульсивный: сверхимпульсивный
сверх..нвестиции: сверхинвестиции
сверх..нициативный: сверхинициативный
сверх..нтеллектуальный: сверхинтеллектуальный
сверх..нтеллигентный: сверхинтеллигентный
сверх..нтересный: сверхинтересный
сверх..скусный: сверхискусный
сверх..энергичный: сверхэнергичный
сверх..яркий: сверхъяркий
сверхиз..сканный: сверхизысканный
сер..ёзность: серьёзность
сер..ёзный: серьёзный
сни..хождение: снисхождение
соб..ётся: собьётся
сопр..косновение: соприкосновение
сопр..частность: сопричастность
спец..нструмент: специнструмент
спорт..нвентарь: спортинвентарь
суб..ект: субъект
суб..ективный: субъективный
супер..гра: суперигра
супер..нтеллектуальный: суперинтеллектуальный
супер..нтенсивный: суперинтенсивный
супер..нтересный: суперинтересный
супер..скусный: суперискусный
супер..яркий: суперъяркий
транс..ранский: трансиранский
трёх..мпульсный: трёхимпульсный
трёх..ядерный: трёхъядерный
трёх..язычный: трёхъязычный
трёх..ярусный: трёхъярусный
ультр..звуковой: ультразвуковой
уст..е: устье
фамил..ярный: фамильярный
фин..нспектор: фининспектор
фотооб..ектив: фотообъектив
чере..страничный: чересстраничный
чере..чур (сладкий): чересчур
чере..чур: чересчур
четырёх..угольный: четырёхугольный
четырёх..ярусный: четырёхъярусный
чре..мерный: чрезмерный
